morphospecies,color,body_length,wingspan,species,location,time,family,subfamily,guilds,,color index,,,,
zebra,"black, white",19.6,50.4,Diaethria phlogea,ar,morning,Nymphalidae,Biblidinae,Nectar Feeder,,Colorful,,,,
big brother,"orange, black, white dots",26.4,,Historis acheronta acheronta,ar,morning,Nymphalidae,Charaxinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
just core,brown,17.2,38.4,Manerebia inderena fina,ar,morning,Nymphalidae,Satyrinae,"Phytophagous, Nectar Feeder",,Dull,,,,
frilly yellow,yellow,15.5,45.7,Eurema mexicana,ar,afternoon,Nymphalidae,Coliadinae,Phytophagous,,Colorful,,,,
orange jazz,orange,19,61.3,Eueides lybia,ar,afternoon,Riodinidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
lil wayne,"orange, black",10.3,40.3,Riodina lysippus lysias,ar,afternoon,Pieridae,Riodininae,Nectar Feeder,,Colorful,,,,
frilly yellow,yellow,18.2,38.6,Eurema mexicana,ar,afternoon,Nymphalidae,Coliadinae,Phytophagous,,Colorful,,,,
orange jazz,orange,19.9,40.3,Eueides lybia,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
orange jazz,orange,20.4,58.1,Eueides lybia,ar,afternoon,Uraniidae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
really cool,"green, black (or blue)",29.3,81.5,Urania leilus,ar,afternoon,Uraniidae,Uraniinae,Nectar Feeder,,Colorful,,,,
orange peel,"white, orange, black",15.7,54.2,Ithomeis aurantiaca,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
bohemian,"brown, orange",17.3,46,Anartia amathea,ar,afternoon,Lycaenidae,Nymphalinae,"Phytophagous, Nectar Feeder",,Colorful,,,,
aqua baby,"blue, white",17.2,44.5,,ar,afternoon,Nymphalidae,Polyommatinae,"Phytophagous, Occasional Predator (Lycaenidae larvae)",,Colorful,,,,
orange jazz,orange,17.2,44.5,Eueides lybia,ar,afternoon,Pieridae,Heliconiinae,"Nectar Feeder, Pollen Feeder",,Colorful,,,,
frilly yellow,yellow,18.9,45.7,Eurema mexicana,ar,afternoon,Nymphalidae,Coliadinae,Phytophagous,,Colorful,,,,
tiger mama,orange,19.7,57.1,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
tiger mama,orange,18.9,51.1,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
tiger mama,orange,17.1,58.7,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
tiger mama,orange,15.4,57.9,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
tiger mama,orange,19.1,57.8,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
tiger mama,orange,18.1,58.5,Dryas iulia alcionea,ar,afternoon,Nymphalidae,Heliconiinae,"Nectar Feeder, Pollinator",,Colorful,,,,
el sol,"brown, orange, dots",18.2,52.9,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
el sol,"brown, orange, dots",18,61.2,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
el sol,"brown, orange, dots",17.9,59.4,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
el sol,"brown, orange, dots",18.1,50.1,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
el sol,"brown, orange, dots",19.2,66.3,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
el sol,"brown, orange, dots",17.6,59.2,Mechanitis messenoides,ar,afternoon,Nymphalidae,Danainae,"Nectar Feeder, Pollinator",,Colorful,,,,
